data,decision,judge,region,articles
"х и нежилых помещений, следовательно, надлежащим ответчиком по делу о взыскании долга за предоставленные услуги за спорный период является Комитет. Отсутствие доказательств оплаты долга в пользу ресурсоснабжающих организаций не является основанием для освобождения собственника помещений от обязательств по внесению платы за потребленные коммунальные ресурсы. С учетом изложенного, исковые требования в части взыскания задолженности в размере 148 139 руб. 83 коп. являются обоснованными и подлежат удовлетворению. Вопрос о взыскании судебных расходов по уплате государственной пошлины судом не рассматривался, поскольку при обращении в арбитражный суд истцу предоставлена отсрочка по уплате государственной пошлины, а согласно подпункту 1.1 пункта 1 статьи 333.37 Налогового кодекса Российской Федерации органы местного самоуправления, освобождены от уплаты государственной пошлины. Руководствуясь статьями 49, 110, 167-171, 176, 180-181 Арбитражного процессуального кодекса Российской Федерации, суд",принято,Анна Витальевна,Сыктывкар,"{'апк': [49, 66, 110, 167, 168, 169, 170, 171, 176, 180, 181], 'жк': [36, 37]}"
"отрении дел об административных правонарушениях» в случае принятия арбитражным судом решения об отмене постановления о прекращении производства по делу об административном правонарушении или определения об отказе в возбуждении дела об административном правонарушении материалы дела о соответствующем административном правонарушении направляются административному органу, постановление (определение) которого было отменено, для рассмотрения. Определение об отказе в возбуждении дела об административном правонарушении в связи с его отменой утрачивает силу, следовательно, у административного органа существует неисполненная им обязанность рассмотреть 11 заявление о возбуждении дела об административном правонарушении и приложенные материалы в установленном порядке после вступления в законную силу настоящего решения. Руководствуясь статьями 67, 68, 71, 167-170, 176, 180, 181, 211 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Ханты-Мансийского автономного округа – Югры",принято,Елена Анатольевна,Ханты-Мансийск,"{'апк': [51, 67, 68, 71, 123, 156, 163, 167, 168, 169, 170, 176, 180, 181, 207, 211, 288]}"
" установленную законом ответственность. В целях реализации прав и свобод гражданина-должника в рамках своей процедуры и распространения норм равноправия по сведениям, составляющим семейную, коммерческую, банковскою, налоговою и личную тайну как самого должника, а также членов его семьи, в том числе и бывших супругов во взаимосвязи с применяемой судебной практикой (Обзор судебной практики Верховного суда Российской Федерации, от 07.04.2021), суд считает необходимым наделить правом финансового управляющего в А43-185/2025 5 рамках исполнения пункта 7 статьи 213.26 Закона о банкротстве истребовать необходимую информацию о должнике и членах его семьи из государственных органов, юридических лиц, и органов местного самоуправления, осуществляющих учет имущественных прав. На основании изложенного и руководствуясь статьями 52, 213.24 Федерального закона от 26.10.2002 № 127-ФЗ «О несостоятельности (банкротстве)», статьями 167-170, 180 Арбитражного процессуального кодекса Российской Федерации, суд",принято,Ксения Владимировна,Нижний,"{'апк': [156, 167, 168, 169, 170, 180], 'ск': [34]}"
"признания за ним права собственности в силу приобретательной давности. По смыслу статей 225 и 234 Гражданского кодекса Российской Федерации право собственности в силу приобретательной давности может быть приобретено на имущество, принадлежащее на праве собственности другому лицу, а также на бесхозяйное имущество (пункт 16 Постановления Пленума Верховного Суда РФ № 10, Пленума ВАС РФ № 22 от 29.04.2010 «О некоторых вопросах, возникающих в судебной практике при разрешении споров, связанных с защитой права собственности и других вещных прав»). В силу изложенного, исковые требования подлежат удовлетворению. Территориальное управление Федерального агентства по управлению государственным имуществом в Республике Коми, являясь номинальным ответчиком по заявленным исковым требованиям, не нарушая прав и законных интересов истца, не несет обязанность по оплате государственной пошлины. Руководствуясь статьями 110, 167-170, 176, 180-181 Арбитражного процессуального кодекса Российской Федерации, суд",отказано,Анна Витальевна,Сыктывкар,"{'апк': [110, 136, 167, 168, 169, 170, 176, 180, 181], 'гк': [61, 63, 209, 218, 219, 234, 235, 236]}"
" в отношении содержания общедомового имущества. Предписание содержит четкие формулировки, ссылки на общие требования минимального перечня не свидетельствуют о недействительности предписания, поскольку порядок и способ устранения нарушения избирает лицо, в адрес которого выдано предписание . Предписание содержит четкое описание нарушений и требование об их устранении, доказательств невозможности исполнения предписания заявителем не представлено, как и не представлено доказательств невозможности устранения нарушений, в установленный срок. При изложенных обстоятельствах, у суда отсутствуют основания для удовлетворения заявленных. Решение, выполненное в форме электронного документа, направляется лицам, участвующим в деле, посредством его размещения в установленном порядке в информационно-телекоммуникационной сети «Интернет» в режиме ограниченного доступа (ч.1 ст.177 АПК РФ). Руководствуясь статьями 110, 167-170, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано,Наталья Леонидовна,Ярославль,"{'жк': [45, 161, 162, 193, 198], 'апк': [110, 167, 168, 169, 170, 201]}"
"документам ответчик не представил. Доказательств оплаты ответчик в материалы дела не представил. В соответствии со ст.ст. 309-310 ГК РФ обязательства должны исполняться надлежащим образом в соответствии с условиями обязательства и требованиями закона. Односторонний отказ от исполнения обязательства и одностороннее изменение его условий не допускаются. Ответчик сумму долга не оспорил, контррасчет суммы задолженности не представил, доводы истца не опроверг, своевременность оплаты не доказал. Обстоятельства наличия задолженности перед истцом ответчик не оспорил и документально не опроверг. Согласно ч.2 ст.9 АПК РФ лица, участвующие в деле, несут риск наступления последствий совершения или не совершения ими процессуальных действий. Таким образом, суд приходит к выводу, что иск подлежит удовлетворению. Судебные расходы, согласно ст. 110 АПК РФ, относятся на ответчика. На основании вышеизложенного, руководствуясь ст. ст. 307 - 310, 330, 333 ГК РФ, ст. ст. 110, 123, 156, 167 - 171 АПК РФ, суд",отказано,Виктор Эдуардович,Москва,{}
"воинская часть Вооруженных Сил Российской Федерации могут являться юридическим лицом в форме федерального казенного учреждения. В соответствии с ч. 1 ст. 123.22. ГК РФ государственное или муниципальное учреждение может быть казенным, бюджетным или автономным учреждением. Пунктом 4 названной статьи предусмотрено, что казенное учреждение отвечает по своим обязательствам находящимися в его распоряжении денежными средствами. Согласно выписке из Единого государственного реестра юридических лиц Федеральное казенное учреждение «Объединенное стратегическое командование Южного военного округа» является юридическим лицом. Таким образом, Министерство обороны Российской Федерации является ненадлежащим ответчиком по настоящему делу, в связи с чем основания для удовлетворения исковых требований отсутствуют. На основании ст. 110 АПК РФ расходы по оплате государственной пошлины относятся на истца. Руководствуясь ст.ст. 309, 310, 929, 931, 965, 1079 ГК РФ, ст.ст. 110, 123, 156, 167-171, 176 АПК РФ, суд",отказано,Артур Георгиевич,Москва,{'гк': [15]}
" организацией, индивидуальным предпринимателем, а равно некоммерческой организацией, нарушившей обязательство при осуществлении ею приносящей доход деятельности, допускается в исключительных случаях, если она явно несоразмерна последствиям нарушения обязательства и может повлечь получение кредитором необоснованной выгоды (пункты 1 и 2 статьи 333 ГК РФ). Ответчиком не представлено доказательств явной несоразмерности заявленной истцом к взысканию неустойки последствиям нарушения обязательства, в связи с чем суд не усматривает правовых оснований для применения положений ст. 333 ГК РФ и снижения неустойки. В связи с изложенным, заявленные требования являются правомерными и обоснованными, в связи с чем, подлежат удовлетворению в полном объеме. Расходы по оплате государственной пошлины по иску распределяются в порядке ст. 110 Арбитражного процессуального кодекса Российской Федерации. На основании изложенного и руководствуясь ст.ст. 110, 123, 156, 167, 168, 169, 170, 171, 176, 177 АПК РФ, суд",отказано,Светлана Сергеевна,Москва,{'апк': [227]}
" размере 20% от неуплаченной суммы. Согласно расчету истца, размер штрафа в силу п. 4.3 договора составляет 55 635,43 руб. 4 Суд приходит к выводу о том, что требование о взыскании штрафа в размере 55 635,43 руб. подлежит удовлетворению. Таким образом, заявленные исковые требования подлежат удовлетворению в полном объёме. Также истцом заявлено о взыскании почтовых расходов в размере 744,08 руб. Истцом в рамках дела были понесены расходы на направление ответчику досудебной претензии и искового заявления на адрес, предусмотренный договором для корреспонденции, которые составили 744,08 руб. Почтовые расходы в указанном размере подтверждены представленными в материалы дела почтовыми квитанциями и подлежат удовлетворению в полном объеме, применительно к положениям ст. ст. 101, 106, 110 АПК РФ. Расходы по оплате государственной пошлины распределены в порядке статьи 110 АПК РФ. Руководствуясь ст. ст. 4, 9, 27, 41, 63 - 65, 71, 110, 121, 122, 123, 131, 167 - 171, 176, 180, 181, 226-229 АПК РФ,",частично,А.Э. Михайлова,Москва,{}
"07 рублей. Ответчиком внесены денежные средства на депозит суда платежным поручением № 55 от 25.03.2024 в размере 100 000 рублей. Определением Арбитражного суда г. Москвы от 18.02.2025 перечислены АНО ""СУДЕБНЫЙ ЭКСПЕРТ"" (ИНН 7743109219) денежные средства в размере 198 180 руб. по счету от 14.10.2024 № А000412/24, поступившие по платежному поручению № 17147 от 15.02.2024, по платежному поручению № 55 от 25.03.2024. Поскольку рассмотрение настоящего дела завершилось принятием судебного акта об отказе в удовлетворении исковых требований в части взыскании убытков в размере 1 382 971 руб. 28 коп., судебные расходы на оплату экспертизы, понесенные ответчиком, подлежат возмещению истцом в размере 100 000 руб. Возражения истца, что экспертиза проведена по инициативе ответчика, и следовательно расходы должны быть понесены ИП ТУРОВЕЦКИМ В.Н., с противоречат требования ст.ст.110-112 АПК РФ С учетом изложенного, руководствуясь ст. ст. 4, 9, 27, 110, 176 Арбитражного процессуального кодекса РФ, суд",принято,Е.В.Михайлова,Москва,{}
"бстоятельства дела, которые согласно закону, должны быть подтверждены определенными доказательствами, не могут подтверждаться в арбитражном суде иными доказательствами. Достаточность доказательств можно определить как наличие необходимого количества сведений, достоверно подтверждающих те или иные обстоятельства спора. Отсутствие хотя бы одного из указанных признаков является основанием не признавать требования лица, участвующего в деле, обоснованными (доказанными). Изучив материалы дела, руководствуясь требованиями действующего законодательства, оценив в совокупности представленные сторонами доказательства, суд приходит к выводу о том, что исковые требования акционерного общества Интесс СА (Швейцария) подлежат удовлетворению в полном объеме. В соответствии со статьей 110 АПК РФ расходы по оплате государственной пошлины суд относит на ответчика. Руководствуясь статьями 16, 17, 28, 102, 110, 167-171, 176, 318, 319 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято,Анна Николаевна,Москва,"{'гк': [8], 'апк': [16, 17, 28, 68, 102, 110, 167, 168, 169, 170, 171, 176, 318, 319]}"
"тации зданий), поскольку в соответствии с частями 1 и 2 статьи 32.12 КоАП РФ и частью 2 статьи 109 Федерального закона от 02.10.2007 №229-ФЗ ""Об исполнительном производстве"" меры по обеспечению исполнения указанных в постановлении мероприятий применяются судебными приставами- исполнителями и выбираются ими самостоятельно. Учитывая вышеприведенные нормы права с учетом разъяснений Верховного суда Российской Федерации, установленные по делу обстоятельства, суд приходит к выводу о наличии оснований для применения к обществу меры ответственности в виде административного приостановления деятельности по строительству объекта капитального строительства - «Проектирование и строительство жилого корпуса «Дом-интернат для престарелых и инвалидов городского округа Самара», расположенного по адресу: Самарская область, г. Самара, Промышленный район, Просека 8 сроком на 10 суток. Руководствуясь ст. ст. 167-170, 176, 180-181, 206 Арбитражного процессуального кодекса Российской Федерации, арбитражныйсуд",принято,Виктория Вячеславовна,Самара,{'гк': [2]}
" РФ от 02.06.2004 №10 «О некоторых вопросах, возникших в судебной практике при рассмотрении дел об административных правонарушениях» установив в судебном заседании факт истечения срока давности привлечения к ответственности, суд, руководствуясь частью 6 статьи 205 и частью 2 статьи 206 АПК РФ, принимает решение об отказе в удовлетворении требования административного органа о привлечении к административной ответственности. Учитывая изложенные обстоятельства, суд установил наличие оснований для отказа в удовлетворении заявления и прекращения производства по делу об административном правонарушении. В соответствии с частью 2 статьи 204 Арбитражного процессуального кодекса Российской Федерации заявление о привлечении к административной ответственности государственной пошлиной не облагается, в связи с чем вопрос о ее распределении судом не рассматривается. Руководствуясь статьями 167-170, 176, 206 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Республики Татарстан",отказано,Лариса Валерьевна,Казань,"{'апк': [167, 168, 169, 170, 176, 204, 206]}"
"ствами взимаются по день уплаты суммы этих средств кредитору, если законом, иными правовыми актами или договором не установлен для начисления процентов более короткий срок. Таким образом, данное требование истца подлежит частичному удовлетворению в сумме 3 171 руб. 67 коп. процентов за пользование чужими денежными средствами за период с 18.01.2022 по 31.03.2022 и со 02.10.2022 по 26.02.2025. Проценты за пользование чужими денежными средствами за период с 27.02.2025 по день фактической оплаты суммы А79-9497/2024 9 долга – 8974 руб. 44 коп., также подлежат начислению по ключевой ставке Банка России, действовавшей в соответствующие периоды. На основании изложенного, иск подлежит частичному удовлетворению. Вопрос о взыскании государственной пошлины судом не рассматривается, поскольку стороны от ее уплаты освобождены в соответствии со статьей 333.37 Налогового кодекса Российской Федерации. Руководствуясь статьями 110, 167 – 170, 176 Арбитражного процессуального кодекса Российской Федерации,",частично,ОКСАНА АНАТОЛЬЕВНА,Чебоксары,"{'зк': [1, 3, 22, 65], 'гк': [125, 195, 199, 200, 202, 207, 309, 310, 395, 424, 606, 614, 1102, 1105, 1107], 'апк': [65, 69], 'нк': [75]}"
"ено. Проанализировав доказательства по правилам статьи 71 Арбитражного процессуального кодекса Российской Федерации, суд полагает возможным в удовлетворении иска отказать. (Аналогичный правовой подход содержится в постановлении Арбитражного суда Центрального округа от 16.05.2017 № Ф10-1419/2017 по делу № А14-3546/2016, постановлении Арбитражного суда Западно-Сибирского округа от 22.01.2025 № Ф04- 5729/2024 по делу № А45-15927/2023.) В соответствии с частью 1 статьи 110 Арбитражного процессуального кодекса Российской Федерации судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. При обращении в суд истцом была оплачена государственная пошлина в размере 6000 руб. (л.д. 18, 19). По результатам рассмотрения настоящего дела судебные расходы по оплате государственной пошлины относятся на истца. Руководствуясь статьями 110, 112, 167-170, 180, 181 Арбитражного процессуального кодекса Российской Федерации, суд",отказано,Никонова Наталья Владимировна,Липецк,"{'гк': [150], 'апк': [71, 110, 112, 167, 168, 169, 170, 180, 181]}"
"22 № 474 «О некоторых особенностях регулирования жилищных отношений в 2022 - 2024 годах». Согласно статье 333 ГК РФ, если подлежащая уплате неустойка явно несоразмерна последствиям нарушения обязательства, суд вправе уменьшить неустойку. Если обязательство нарушено лицом, осуществляющим предпринимательскую деятельность, суд вправе уменьшить неустойку при условии заявления должника о таком уменьшении. Основания для уменьшения размера заявленной к взысканию неустойки в настоящем случае отсутствуют. С учетом положений части 1 статьи 110 АПК РФ с Предпринимателя в пользу Компании подлежит взысканию 10 189 руб. расходов по уплате государственной пошлины по иску. Излишне уплаченные Компанией 164 руб. государственной пошлины в соответствии с положениями статьи 333.40 Налогового кодекса Российской Федерации подлежат возврату из федерального бюджета. На основании вышеизложенного, руководствуясь статьями 110, 167-170, 171 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято,Станислав Иванович,Санкт-Петербург,"{'апк': [110, 167, 168, 169, 170, 171, 228]}"
"бжающей организации (теплоснабжающей организации) пени в размере одной стотридцатой ставки рефинансирования Центрального банка Российской Федерации, действующей на день фактической оплаты, от не выплаченной в срок суммы за каждый день просрочки начиная со следующего дня после дня наступления установленного срока оплаты по день фактической оплаты. Расчет пени судом проверен, признан арифметически верным, ответчиком не оспорен. Оснований для снижения неустойки в силу статьи 333 Гражданского кодекса Российской Федерации, суд не усматривает. Таким образом, требование истца о взыскании пени подлежит удовлетворению в размере 31 рубля 26 копеек за период 10.11.2024 по 12.12.2024. Судебные расходы по уплате государственной пошлины распределяются в соответствии с правилами статьи 110 Арбитражного процессуального кодекса Российской Федерации. На основании изложенного, руководствуясь статьей 110, частью 5 статьи 170, статьей 130, 159, 229 Арбитражного процессуального кодекса Российской Федерации,",отказано,Л.Н. Морозова,Новосибирск,"{'апк': [4, 9, 41, 65, 70, 71, 110, 130, 159, 229], 'гк': [8, 12, 209, 210, 307, 309, 310, 329, 330, 333, 408, 438, 539, 544]}"
"бретатель узнал или должен был узнать о неосновательности получения или сбережения денежных средств. На основании этой нормы с ответчика также подлежат взысканию проценты за пользование чужими денежными средствами, начисленные за период с 17 октября 2023 года по 09 июля 2024 года в размере в размере 37 072 рубля, согласно представленному истцом расчету (л.д. 32. 75). При подаче иска истец оплатил государственную пошлину в размере 10 231 рубль (л.д. 8-9, 48-50), хотя, исходя из размера заявленных требований, должен был оплатить 10 222 рубля, в связи с чем подлежит возврату истцу пошлина в размере 9 рублей. В остальной части, в соответствии со статьями 110 и 111 Арбитражного процессуального кодекса Российской Федерации, статьей 333.21 Налогового кодекса Российской Федерации, государственная пошлина взыскивается с ответчика в пользу истца. А70-16754/2024 3 На основании вышеизложенного, руководствуясь статьями 110, 167-171, 181-182 Арбитражного процессуального кодекса Российской Федерации,",принято,Лоскутов Владимир Владимирович,Тюмень,"{'апк': [110, 167, 168, 169, 170, 171, 181, 182, 227], 'гк': [702, 1102, 1103, 1107]}"
"ванной налоговой экономии путем завышения налоговых вычетов по НДС, при отсутствии реальных сделок с контрагентами ООО «Эковтор», ООО НП «Канал», ООО «Зинтер», ООО «Экофасад», ООО «Парус», ООО «Ясень», ООО «Тандем» чем нарушены положения статей 169, 171, 172, 54.1 НК РФ, и опровергают доводы Заявителя о недоказанности налоговым органом фактов нереальности сделок со спорными контрагентами. Учитывая изложенное, решение о привлечении к ответственности за совершение налогового правонарушения от 17.05.2024 №2896 является законным и обоснованным. В силу ч. 1 ст. 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. Поскольку в удовлетворении заявленных требований отказано, то судебные расходы, понесённые заявителем на оплату государственной пошлины не подлежат взысканию с ответчика. Руководствуясь статьями 110, 167-170, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично,Карасев Владимир Владимирович,Орел,"{'апк': [110, 163, 167, 168, 169, 170, 201], 'нк': [165]}"
" с ответчика 1 408 661,67 руб. неосновательного обогащения вследствие их неправомерного удержания и уклонения от их возврата, а ответчиком не представлено доказательств возврата денежных средств либо совершения действия взамен, то право истца на начисление процентов законно и обоснованно. В силу изложенного, суд признает заявленные требования в указанной части подлежащими удовлетворению за период с 04.11.2023 по 01.12.2024 в размере 256 384,97 руб. Государственная пошлина с суммы требований 1 665 046,64 руб. – 29 650 руб. Истцом при подаче искового заявления уплачена государственная пошлина в размере 24 526 руб. платежным поручением № 2599 от 06.08.2024. На основании статьи 110 АПК РФ расходы по уплате государственной пошлины в размере 24 526 руб. подлежат взысканию с ответчика в пользу истца, государственная пошлина 5 124 руб. подлежит взысканию с ответчика в доход федерального бюджета. Руководствуясь ст. 110, 167-170, 180 Арбитражного процессуального кодекса Российской Федерации, суд",отказано,Светлана Алексеевна,Благовещенск,"{'апк': [65, 176], 'гк': [711, 753, 1102], 'жк': [154, 155, 158, 161, 162]}"
"я им процессуальных действий в соответствии со ст. 9 АПК РФ. Учитывая отсутствие контррасчета ответчика, проверив расчет истца, суд считает его составленным арифметически и методически не верно. По расчету суда истец имеет право на взыскание пени в большем размере. Поскольку суд не вправе выходить за пределы исковых требований, увеличивая тем самым сумму исковых требований, с ответчика в пользу истца подлежит взысканию пени в размере 92 320 руб. 99 коп., подлежат удовлетворению в полном объеме. В соответствии со статьей 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. На основании изложенного, расходы по оплате госпошлины следует отнести на ответчика с учетом произведенных оплат как до, так и после обращения истца в суд с настоящим иском и удовлетворения уточненных исковых требований. Руководствуясь ст.ст. 9, 49, 65, 71, 110, 137, 150, 156, 159, 167-170, 171, 176 АПК РФ, арбитражный суд",частично,М.М. Данько,Краснодар,{'апк': [137]}
"ом суде, отнесены денежные суммы, подлежащие выплате экспертам, специалистам, свидетелям, переводчикам, расходы, связанные с проведением осмотра доказательств на месте, расходы на оплату услуг адвокатов и иных лиц, оказывающих юридическую помощь (представителей), расходы юридического лица на уведомление о корпоративном споре в случае, если федеральным законом предусмотрена обязанность такого уведомления, и другие расходы, понесенные лицами, участвующими в деле, в связи с рассмотрением дела в арбитражном суде. Вышеназванные расходы непосредственно связаны с рассмотрением настоящего дела, необходимы, обоснованы и подтверждены документально. Таким образом, 110 руб. расходов на приобретение товара, 132 руб. почтовых расходов, 200 руб. расходов на получение выписки ЕГРИП подлежат взысканию с ответчика. Расходы по оплате государственной пошлины в соответствии со статьей 110 АПК РФ также подлежат возложению на ответчика. Руководствуясь статьями 110, 167–170, 226-229 АПК РФ, арбитражный суд 12",отказано,А.В.Николаев,Краснодар,"{'апк': [125, 137]}"
"несенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. При подаче иска истцом оплачена государственная пошлина в сумме 81 457,46 рублей, что подтверждается платёжным поручением № 26522 от 11.12.2024. 7 1083_659085 Уплату пошлины в соответствии со статьей 110 Арбитражного процессуального кодекса Российской Федерации следует отнести на ответчика. Настоящее решение выполнено в форме электронного документа, подписано электронной подписью судьи и считается направленным лицам, участвующим в деле, посредством размещения на официальном сайте суда в сети ""Интернет"" в режиме ограниченного доступа. По ходатайству лиц, участвующих в деле, копии решения на бумажном носителе могут быть направлены им в пятидневный срок со дня поступления соответствующего ходатайства заказным письмом с уведомлением о вручении или вручены им под расписку. Руководствуясь статьями 167 – 176 и 181 Арбитражного процессуального кодекса Российской Федерации, суд",принято,Ондар Чечек Чигжит-ооловна,Кызыл,"{'апк': [15, 70, 71, 110, 156], 'гк': [309, 329, 330, 539, 544, 781]}"
"а подлежит взысканию с должника (статья 202 Гражданского процессуального кодекса Российской Федерации, статья 179 Арбитражного процессуального кодекса Российской Федерации). При этом день фактического исполнения нарушенного обязательства, в частности, день уплаты задолженности кредитору, включается в период расчета неустойки. Таким образом, с ответчика в пользу истца подлежат взысканию пени, рассчитанной в соответствии с абзацем 8 пункта 2 статьи 37 Федерального закона от 26.03.2003 № 35-ФЗ «Об электроэнергетике», за период с 01.06.2024 по день фактической оплаты ответчиком суммы основного долга. В соответствии с частью 1 статьи 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. На основании изложенного, расходы по оплате госпошлины следует отнести на ответчика с учетом удовлетворения исковых требований. Руководствуясь ст. ст. 9, 49, 65, 71, 110, 156, 167, 171, 176 АПК РФ, арбитражный суд",частично,М.М. Данько,Краснодар,"{'апк': [156, 179], 'гк': [330], 'гпк': [202]}"
